ticker,security_type,exchange,is_active,yahoo_symbol,company_name,long_name,sector,industry,market_cap,currency,fetch_error,snapshot_date
HON,COMMON_STOCK,NASDAQ,True,HON,Honeywell International Inc.,Honeywell International Inc.,Industrials,Conglomerates,69815900734.61559,USD,,2026-07-08
REGN,COMMON_STOCK,NASDAQ,True,REGN,"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,69495698044.06934,USD,,2026-07-08
APD,COMMON_STOCK,NYSE,True,APD,"Air Products and Chemicals, Inc","Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,66080493570.5,USD,,2026-07-08
WBD,COMMON_STOCK,NASDAQ,True,WBD,"Warner Bros. Discovery, Inc. - ","Warner Bros. Discovery, Inc.",Communication Services,Entertainment,65561623800.90325,USD,,2026-07-08
NKE,COMMON_STOCK,NYSE,True,NKE,"Nike, Inc.","NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,63515243941.508286,USD,,2026-07-08
SRE,COMMON_STOCK,NYSE,True,SRE,DBA Sempra,Sempra,Utilities,Utilities - Diversified,62317927734.304,USD,,2026-07-08
D,COMMON_STOCK,NYSE,True,D,"Dominion Energy, Inc.","Dominion Energy, Inc.",Utilities,Utilities - Regulated Electric,61442742669.05182,USD,,2026-07-08
TGT,COMMON_STOCK,NYSE,True,TGT,Target Corporation,Target Corporation,Consumer Defensive,Discount Stores,60143986219.391235,USD,,2026-07-08
DAL,COMMON_STOCK,NYSE,True,DAL,"Delta Air Lines, Inc.","Delta Air Lines, Inc.",Industrials,Airlines,57349036540.09628,USD,,2026-07-08
PSA,COMMON_STOCK,NYSE,True,PSA,Public Storage,Public Storage,Real Estate,REIT - Industrial,56320684326.14429,USD,,2026-07-08
OXY,COMMON_STOCK,NYSE,True,OXY,Occidental Petroleum Corporatio,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,53302473778.35921,USD,,2026-07-08
EA,COMMON_STOCK,NASDAQ,True,EA,Electronic Arts Inc.,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,51376471403.71344,USD,,2026-07-08
XEL,COMMON_STOCK,NASDAQ,True,XEL,Xcel Energy Inc.,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,49704344081.80755,USD,,2026-07-08
EXC,COMMON_STOCK,NASDAQ,True,EXC,Exelon Corporation,Exelon Corporation,Utilities,Utilities - Regulated Electric,48377279704.72662,USD,,2026-07-08
TTWO,COMMON_STOCK,NASDAQ,True,TTWO,"Take-Two Interactive Software, ","Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,46672886651.5155,USD,,2026-07-08
CMG,COMMON_STOCK,NYSE,True,CMG,"Chipotle Mexican Grill, Inc.","Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,42881798011.45935,USD,,2026-07-08
COIN,COMMON_STOCK,NASDAQ,True,COIN,"Coinbase Global, Inc.","Coinbase Global, Inc.",Financial Services,Financial Data & Stock Exchanges,41985107830.56369,USD,,2026-07-08
ED,COMMON_STOCK,NYSE,True,ED,"Consolidated Edison, Inc.","Consolidated Edison, Inc.",Utilities,Utilities - Regulated Electric,41308493283.85391,USD,,2026-07-08
UAL,COMMON_STOCK,NASDAQ,True,UAL,"United Airlines Holdings, Inc.","United Airlines Holdings, Inc.",Industrials,Airlines,40967191464.36328,USD,,2026-07-08
PEG,COMMON_STOCK,NYSE,True,PEG,Public Service Enterprise Group,Public Service Enterprise Group Incorporated,Utilities,Utilities - Regulated Electric,40493598191.04936,USD,,2026-07-08
